Name,Symbol,Price_usd,Change,Volume_in_M,PE_ratio,Market_cap_in_B
Hut 8 Corp.,HUT,21.9,0.82,6.854,,2.523
XPeng Inc.,XPEV,18.85,0.48,6.877,,16.766
UiPath Inc.,PATH,13.29,0.44,6.854,,7.111
DraftKings Inc.,DKNG,40.77,-0.55,6.795,,20.234
U.S. Bancorp,USB,47.93,0.44,7.032,11.86,74.676
Bristol-Myers Squibb Company,BMY,46.92,-0.09,7.024,17.51,95.486
AstraZeneca PLC,AZN,69.45,-1.68,6.762,27.89,215.914
Schlumberger Limited,SLB,35.65,-0.26,7.241,12.08,48.162
"Coinbase Global, Inc.",COIN,355.8,1.35,6.704,66.63,90.624
"Walgreens Boots Alliance, Inc.",WBA,11.47,-0.02,6.65,,9.928
"Coupang, Inc.",CPNG,30.29,0.26,6.625,216.36,54.995
The Procter & Gamble Company,PG,160.83,-0.37,7.0,25.53,377.072
"Lumen Technologies, Inc.",LUMN,4.6,0.15,6.549,,4.719
"Banco Santander, S.A.",SAN,8.55,0.09,7.074,9.0,127.106
"First Solar, Inc.",FSLR,185.03,14.51,6.4,15.72,19.843
"Tempus AI, Inc.",TEM,60.97,1.79,6.389,,10.555
Viatris Inc.,VTRS,9.32,-0.02,6.342,,10.939
JPMorgan Chase & Co.,JPM,296.0,5.4,6.48,14.52,822.611
Permian Resources Corporation,PR,14.06,-0.11,6.54,8.57,11.246
Cenovus Energy Inc.,CVE,14.16,-0.09,6.144,12.76,25.683
"Avantor, Inc.",AVTR,13.88,-0.01,6.226,13.35,9.458
"Delta Air Lines, Inc.",DAL,50.86,0.73,6.123,9.02,33.209
"Exelixis, Inc.",EXEL,46.15,1.85,6.04,21.07,12.585
"AST SpaceMobile, Inc.",ASTS,45.6,-0.11,6.027,,15.431
UnitedHealth Group Incorporated,UNH,308.55,0.99,6.062,12.92,279.898
"QXO, Inc.",QXO,21.98,0.39,6.098,,14.734
"Conagra Brands, Inc.",CAG,20.99,-0.15,6.101,30.87,10.02
"JD.com, Inc.",JD,32.07,-0.4,5.884,7.78,46.229
General Motors Company,GM,52.89,0.21,6.599,7.39,50.85
NuScale Power Corporation,SMR,35.88,0.67,5.843,,4.786
Dow Inc.,DOW,28.46,-0.27,5.95,71.15,20.117
Zeta Global Holdings Corp.,ZETA,15.45,0.29,5.692,,3.639
"ASE Technology Holding Co., Ltd.",ASX,10.37,0.07,5.715,19.94,22.534
CSX Corporation,CSX,33.6,-0.01,5.639,20.0,63.119
Kenvue Inc.,KVUE,21.05,0.15,6.093,37.59,40.414
"Coeur Mining, Inc.",CDE,9.12,0.14,5.638,31.45,5.834
ON Semiconductor Corporation,ON,56.6,0.65,5.553,39.31,23.652
Teva Pharmaceutical Industries Limited,TEVA,17.01,-0.04,5.548,,19.508
Truist Financial Corporation,TFC,45.54,0.51,5.611,,59.636
Newell Brands Inc.,NWL,5.84,-0.08,5.482,,2.439
The Charles Schwab Corporation,SCHW,91.48,0.14,5.766,27.72,166.216
ReNew Energy Global Plc,RNW,7.67,0.75,5.403,59.0,2.781
"Healthpeak Properties, Inc.",DOC,18.22,-0.09,5.547,44.44,12.658
"Under Armour, Inc.",UAA,7.11,-0.11,5.426,,2.96
"Host Hotels & Resorts, Inc.",HST,16.21,0.04,5.301,16.89,11.397
NatWest Group plc,NWG,13.44,0.43,5.279,8.56,54.354
Algonquin Power & Utilities Corp.,AQN,5.79,0.09,5.272,20.68,4.473
"PayPal Holdings, Inc.",PYPL,76.59,0.28,5.263,17.21,74.486
Newmont Corporation,NEM,59.9,-0.16,5.37,13.64,66.669
GameStop Corp.,GME,23.59,-0.36,5.265,44.51,10.553
Arista Networks Inc,ANET,102.52,1.39,5.297,43.26,128.757
Western Digital Corporation,WDC,66.08,0.3,5.162,22.63,23.054
Nebius Group N.V.,NBIS,50.25,0.28,5.088,,12.048
Chevron Corporation,CVX,148.37,0.39,5.155,16.96,257.011
Sibanye Stillwater Limited,SBSW,7.57,-0.05,5.067,,5.357
Lam Research Corporation,LRCX,98.81,-0.02,5.029,27.52,126.39
Bitdeer Technologies Group,BTDR,13.77,0.69,5.006,,2.709
